eventid,angle,carid,driverid,height,lat,lon,lurch,maxvectoracc,midvectoracc,origid,speed,tanage,xacc,yacc,zacc,eventdt,entrydt,iscan
10832325,270,10005,10005,-12,5956.3219,3021.7793,99,0.0900000035762787,0.0399999991059303,4689151,15.355,-2,0.0599999986588955,-0.0599999986588955,0.0199999995529652,2016-10-09 08:18:55+03,2016-10-24 14:57:42.861+03,True
10832326,275,10005,10005,-12,5956.3225,3021.7642,99,0.100000001490116,0.0299999993294477,4689152,17.575,-1,-0.0599999986588955,-0.00999999977648258,-0.0700000002980232,2016-10-09 08:18:57+03,2016-10-24 14:57:42.861+03,True
10832327,277,10005,10005,-13,5956.3236,3021.7478,98,0.119999997317791,0.0399999991059303,4689153,18.5,-1,0.0900000035762787,0.0199999995529652,-0.0700000002980232,2016-10-09 08:19:00+03,2016-10-24 14:57:42.861+03,True
10832328,276,10005,10005,-13,5956.3239,3021.7421,98,0.159999996423721,0.0700000002980232,4689154,19.055,0,0.0900000035762787,-0.100000001490116,0.0799999982118607,2016-10-09 08:19:02+03,2016-10-24 14:57:42.861+03,True
10832329,277,10005,10005,-13,5956.3242,3021.7365,97,0.159999996423721,0.0599999986588955,4689155,18.8515,0,-0.0500000007450581,0.150000005960464,0,2016-10-09 08:19:02+03,2016-10-24 14:57:42.861+03,True
10832330,271,10005,10005,-13,5956.3246,3021.7147,99,0.100000001490116,0.0500000007450581,4689156,18.685,-2,-0.100000001490116,0.0199999995529652,0,2016-10-09 08:19:06+03,2016-10-24 14:57:42.861+03,True
10832331,267,10005,10005,-13,5956.3245,3021.7097,97,0.129999995231628,0.0599999986588955,4689157,17.0015,-2,-0.0299999993294477,-0.0799999982118607,-0.0900000035762787,2016-10-09 08:19:08+03,2016-10-24 14:57:42.861+03,True
10832332,273,10005,10005,-13,5956.3243,3021.6952,98,0.0900000035762787,0.0399999991059303,4689158,17.0015,-1,0.0199999995529652,0.0500000007450581,0.0700000002980232,2016-10-09 08:19:10+03,2016-10-24 14:57:42.861+03,True
10832333,277,10005,10005,-13,5956.3249,3021.684,102,0.100000001490116,0.0399999991059303,4689159,19.98,-1,0,-0.0799999982118607,-0.0599999986588955,2016-10-09 08:19:12+03,2016-10-24 14:57:42.861+03,True
10832334,281,10005,10005,-13,5956.3255,3021.6777,102,0.109999999403954,0.0399999991059303,4689160,21.645,0,0.0500000007450581,0.0700000002980232,0.0799999982118607,2016-10-09 08:19:13+03,2016-10-24 14:57:42.861+03,True
10832335,283,10005,10005,-13,5956.3263,3021.6708,100,0.159999996423721,0.0599999986588955,4689161,23.31,0,0.0500000007450581,-0.129999995231628,0.0700000002980232,2016-10-09 08:19:14+03,2016-10-24 14:57:42.861+03,True
10832336,285,10005,10005,-13,5956.3272,3021.6637,99,0.150000005960464,0.0500000007450581,4689162,24.05,0,0.0199999995529652,-0.119999997317791,-0.0700000002980232,2016-10-09 08:19:15+03,2016-10-24 14:57:42.861+03,True
10832337,283,10005,10005,-14,5956.3279,3021.6564,98,0.109999999403954,0.0500000007450581,4689163,24.79,0,0.0599999986588955,-0.0700000002980232,0.0599999986588955,2016-10-09 08:19:17+03,2016-10-24 14:57:42.861+03,True
